Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Net Income Avl to Common,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior month)
2013-05-11 8:06,1368230787,fti,49.408913,-0.07,148.476563,17.34,13280000000,14590000000,31.11,18.98,1.69,2.09,7.14,2.28,17.73,6.77,10.27,7.77,25.36,6400000000,26.74,17.9,1320000000,822700000,433600000,1.8,3.6,236600000,1,1680000000,89.08,1.81,7.88,102900000,-333350000,1.42,53.13,47.29,2003590,237190000,235680000,0.37,97.6,10330000,5.8,5.5,10210000
2007-10-31 6:37,1193783852,fti,22.911137,-40.93,124.809975,-36.41,7790000000,8050000000,27.73,22.59,1.42,2.09,10.16,1.94,18.327,7.18,8.73,8.61,30.63,4150000000,30.836,21.4,764300000,439400000,257400000,2.17,11.1,167400000,1.292,432900000,0.509,1.343,6.578,267900000,87550000,0.72,58.33,45.43,1683350,129570000,128870000,0.12,84,3950000,3,3.1,3130000
2004-11-27 23:11,1101568318,fti,6.240762,25.19,90.537399,9.25,2260000000,2410000000,27.39,21.73,1.7,0.88,4.15,0.94,12.95,3.22,4.78,5.09,17.99,2570000000,37.501,N/A,463500000,186100000,82700000,1.206,N/A,52000000,0.76,203000000,0.373,1.193,7.968,N/A,N/A,0.864,32.04,29.01,617365,68390000,67900000,0.71,88.25,1060000,1.392,1.55,699000
2012-11-03 7:39,1351899582,fti,34.625114,28.45,127.152008,27.2,9630000000,10590000000,23.97,17.02,1.41,1.68,5.64,1.82,15.41,7.04,9.63,7.28,25.36,5810000000,24.23,10.2,1130000000,687600000,408800000,1.69,-18.3,566200000,2.38,1530000000,87.59,1.96,7.28,40800000,-345700000,1.44,45.01,44.19,1934390,237730000,235150000,0.42,99.3,5840000,3,2.8,7460000
2013-04-14 1:32,1365874349,fti,45.129745,2.54,144.287857,17.52,12540000000,13570000000,29.66,18.08,1.65,2.13,7.11,2.21,17.09,6.99,10.53,7.96,26.42,6150000000,25.66,22.7,1320000000,794200000,430000000,1.78,21.4,342100000,1.44,1640000000,88.54,1.77,7.75,138400000,-272770000,1.42,52.32,46.14,2004240,237480000,235960000,0.37,97.6,10330000,5.3,N/A,11560000
2005-02-14 6:58,1108335510,fti,6.274772,35.5,92.755928,7.73,2290000000,2330000000,20.04,18.23,1.37,0.89,4.2,0.84,10.23,4.22,5.94,6.86,22.46,2770000000,39.895,N/A,463500000,228000000,116700000,1.67,N/A,124100000,1.81,163100000,0.246,1.223,7.968,N/A,N/A,0.869,31.48,30.21,646409,68390000,67900000,0.71,89,1770000,4.172,2.61,2030000
2004-09-17 4:10,1095365415,fti,6.15007,21.54,86.30365,11.34,2180000000,2240000000,27.08,20.98,1.59,0.89,4.39,0.92,12.13,3.33,5.05,5.14,19.37,2430000000,35.8,N/A,463500000,184700000,81000000,1.193,N/A,101500000,1.5,213500000,0.434,1.116,7.305,N/A,N/A,0.879,29.89,26.75,419811,67480000,67000000,0.71,87.63,715000,1.801,1.07,972000
2007-04-10 4:13,1176149603,fti,13.666193,73.01,115.657654,-4.24,4800000000,N/A,24.47,18.35,0.8,1.26,5.39,N/A,N/A,5.4,8.59,9.38,25.78,3790000000,55.035,23.8,553200000,395100000,202600000,2.9,33.5,58700000,0.863,222800000,0.261,1.355,13.165,98900000,-24830000,0.98,68.05,61.33,667239,67560000,66230000,5.63,94.5,1700000,2.8,2.5,1370000
2005-03-19 14:09,1111212540,fti,6.4127,45.96,91.468979,12.14,2350000000,2390000000,20.27,18.15,1.39,0.85,3.52,0.86,10.47,4.22,5.94,6.86,22.46,2770000000,39.895,N/A,463500000,228000000,116700000,1.67,N/A,124100000,1.8,163100000,0.246,1.223,9.639,N/A,N/A,0.89,32.44,31.08,447158,69120000,68600000,0.75,91.12,1860000,3.631,2.71,1770000
2013-04-22 2:14,1366568056,fti,43.215153,13.15,141.898209,22.74,11690000000,12990000000,27.65,16.8,1.48,1.91,6.39,2.11,16.35,6.99,10.53,7.96,26.42,6150000000,25.66,22.7,1320000000,794200000,430000000,1.78,21.4,342100000,1.44,1640000000,88.54,1.77,7.75,138400000,-272770000,1.42,52.01,46.23,2013340,237480000,235960000,0.37,97.6,10210000,6.4,5.4,10330000
2012-10-17 23:49,1350488951,ftr,51.573868,0.66,131.319748,21.07,4830000000,12710000000,48.4,17.93,2.26,0.95,1.12,2.49,5.23,2.11,21.04,3.85,2.59,5100000000,5.15,-4.8,5240000000,2430000000,104110000,0.1,-44.2,410010000,0.41,8290000000,191.32,0.84,4.32,1470000000,571780000,0.7,4.76,4.16,10383300,998520000,991870000,0.27,60.1,225420000,24.5,22.7,226070000
2012-11-06 5:50,1352152230,ftr,48.4837,13.83,128.409515,26.64,4630000000,12380000000,46.4,17.19,2.2,0.88,1.04,2.43,5.09,2.11,21.04,3.85,2.59,5100000000,5.15,-4.8,5240000000,2430000000,104110000,0.1,-44.2,410010000,0.41,8290000000,191.32,0.84,4.32,1470000000,571780000,0.7,4.77,4.2,9387430,998520000,991870000,0.27,60.1,229270000,24.6,23.1,225420000
2009-05-24 18:33,1243161203,ftr,50.777069,27.69,74.492516,23.42,2190000000,6740000000,12.7,11.13,7.46,1,4.57,3.05,5.694,7.86,28.33,5.61,24.39,2210000000,7.038,-5.5,2020000000,1180000000,173240000,0.55,-20.4,177430000,0.568,4720000000,N/A,1.428,1.543,744830000,364810000,0.86,7.32,7.72,3465360,312360000,310970000,0.29,52,10030000,3.5,3.2,9430000
2011-11-02 14:37,1320215872,ftr,59.39566,-15.5,109.0355,17.66,6090000000,13970000000,37.55,21.1,4.66,1.11,1.22,2.57,5.61,2.98,20,5.55,6.39,5430000000,5.49,156.2,3800000000,2490000000,158340000,0.16,-8.1,232670000,0.23,8190000000,166.03,0.8,4.95,1770000000,1150000000,0.48,6.24,7.43,14767300,995220000,990520000,0.22,49.5,70050000,5.1,7.1,75110000
2012-03-10 13:26,1331357212,ftr,44.789505,1.37,121.744827,15.5,4400000000,12370000000,29.47,17.68,1.02,0.83,0.98,2.36,5.03,2.85,20.19,3.74,3.26,5240000000,5.3,-5.6,5240000000,2460000000,145870000,0.15,-8.1,326090000,0.33,8300000000,185.72,1.07,4.48,1570000000,701400000,0.58,4.45,5.51,21184900,995050000,988540000,0.17,46.3,165730000,6.6,16.7,119580000
2013-05-07 8:20,1367886011,ftr,44.285484,61.41,147.74057,17.88,4080000000,11640000000,31.46,18.59,2.89,0.81,0.99,2.32,4.92,2.73,21.97,3.91,3.57,5010000000,5.06,-3.9,5010000000,2370000000,133740000,0.13,-41.1,1330000000,1.33,8940000000,217.09,1.34,4.11,1550000000,826890000,0.71,4.05,4.33,9411380,998280000,992300000,0.2,61.7,229410000,26.4,23.1,222390000
2013-04-22 1:53,1366566834,ftr,45.177887,58.77,141.898209,22.74,4020000000,11640000000,31,19.19,2.76,0.79,0.97,2.32,4.92,2.73,21.97,3.91,3.57,5010000000,5.06,-3.9,5010000000,2370000000,133740000,0.13,-41.1,1330000000,1.33,8940000000,217.09,1.34,4.11,1550000000,826890000,0.71,4.06,4.39,9788560,998280000,992300000,0.2,61.7,222390000,23.9,22.4,229100000
2012-01-02 7:53,1325461992,ftr,50.995396,-8.66,111.063309,15.99,5120000000,13110000000,31.99,19.81,1.88,0.94,1.05,2.47,5.35,2.88,19.47,3.65,3.15,5320000000,5.57,-8,3800000000,2450000000,149690000,0.16,-29.7,205820000,0.21,8190000000,171.56,0.83,4.79,1610000000,611230000,0.65,5.27,6.55,14290300,995130000,990380000,0.22,49.5,72080000,4.2,7.3,76100000
2011-09-02 15:22,1314948148,ftr,67.638542,-28.78,103.102608,22.32,7250000000,15240000000,44.66,22.75,5.14,1.34,1.48,2.81,6.12,2.98,20,5.55,6.39,5430000000,5.49,156.2,3800000000,2490000000,158340000,0.16,-8.1,232670000,0.23,8190000000,166.03,0.8,4.95,1770000000,1150000000,0.76,7.32,8.03,13507700,995220000,990560000,0.22,49.5,90060000,5.3,9.1,93150000
2010-01-15 17:22,1263547362,gci,11.891446,-6.56,96.604675,16.01,3690000000,7020000000,N/A,8.48,3.32,0.65,2.78,1.2,6.04,-76.49,15.51,5.48,-112.34,5860000000,25.321,-18.4,2750000000,1160000000,-4480000000,-19.37,-53.3,123770000,0.524,3310000000,N/A,1.08,5.836,860630000,665870000,3.05,13.8,10.12,7297900,236240000,234640000,7.47,92.8,37190000,4.9,21.1,44770000
2012-12-11 3:05,1355166336,gci,14.443159,49.75,128.840637,27.32,4100000000,5510000000,9.7,7.97,2.67,0.79,1.69,1.06,5.5,8.39,15.49,7.72,18.1,5220000000,22.29,3.4,2280000000,1000000000,438140000,1.84,33.4,237450000,1.03,1630000000,61.12,1.13,10.62,709710000,639180000,1.47,17.43,15.86,3886680,229790000,227580000,0.34,97.3,24000000,6.5,10.2,23320000
2007-02-27 9:31,1172539907,gci,38.715595,-46.94,111.129936,0.91,14740000000,20100000000,12.83,12.34,1.48,1.83,1.77,2.5,8.841,14.45,24.87,N/A,14.59,8030000000,33.98,7.5,3540000000,2270000000,1160000000,4.9,3,131960000,0.563,5490000000,0.658,N/A,35.589001,N/A,N/A,0.41,60.25,58.47,1179500,234310000,233870000,0.03,82.2,4510000,4.3,1.9,5050000
